id	label	x	y	cluster	weight<Links>	weight<Total link strength>
1	soil working in agriculture or forestry	-0.0449	0.111	1	634	3754.5296
2	planting	0.1779	0.0654	1	636	3368.4556
3	harvesting	0.0007	0.0796	1	636	3482.3338
4	processing of harvested produce	0.2303	-0.1085	1	607	1344.262
5	horticulture	-0.0111	-1.1322	8	649	18688.5096
6	new plants or processes for obtaining them	1.5802	-0.5169	5	584	5323.5538
7	manufacture of dairy products	0.3923	-0.2022	5	602	1208.0122
8	animal husbandry	0.2416	-0.1968	5	649	8328.9104
9	shoeing of animals	-0.0449	-0.2511	5	491	465.6708
10	catching or trapping of animals	-0.1905	-0.4457	8	644	10032.456
11	preservation of bodies of humans or animals or plants or parts thereof	0.778	-0.2886	5	643	9265.2426
12	bakers ovens	0.7043	0.012	5	617	3565.3808
13	machines or equipment for making or processing doughs	0.7707	-0.3673	5	628	4010.7162
14	"treatment, e.g. preservation, of flour or dough, e.g. by addition of material"	1.1086	-0.4666	5	607	8836.5778
15	slaughtering	0.2554	-0.3194	5	606	2758.0572
16	"processing meat, poultry, or fish"	0.3555	-0.311	5	635	3943.5724
17	"preserving, e.g. by canning, meat, fish, eggs, fruit, vegetables, edible seed"	0.8315	-0.2616	5	621	6110.0198
18	"dairy products, e.g. milk, butter, cheese"	1.1702	-0.455	5	595	7314.589
19	"edible oils of fats, e.g. margarines, shortenings, cooking oils"	1.4559	-0.4877	5	568	9075.8738
20	coffee	0.947	-0.2853	5	573	2650.7068
21	cocoa	0.9989	-0.4027	5	635	8086.0684
22	protein compositions for foodstuffs	1.149	-0.5056	5	561	5957.089
23	fodder	1.2737	-0.4183	5	608	9887.4222
24	"foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses a23b"	1.1321	-0.3985	5	643	17095.4276
25	"machines or apparatus for treating harvested fruit, vegetables or flower bulb"	0.7083	-0.2483	5	607	2063.8258
26	"shaping or working of foodstuffs, not fully covered by a single"	0.9112	-0.4413	5	614	7558.4376
27	"indexing scheme relating to foods, foodstuffs or non-alcoholic beverages"	1.0768	-0.3962	5	620	10514.2344
28	indexing scheme relating to lactic or propionic acid bacteria used in foodstu	1.2294	-0.4426	5	349	2759.6908
29	manufacture or preparation of tobacco for smoking or chewing	0.9078	-0.0259	5	599	4043.1438
30	machines for making cigars or cigarettes	0.7809	-0.1433	5	604	2500.8786
31	cigars	0.8555	-0.1002	5	607	4248.297
32	smokers requisites	0.7743	0.163	5	613	4381.9074
33	shirts	-0.3084	-0.6577	2	592	4508.6404
34	"corsets; brassieres"	-0.3776	-0.6149	2	553	1995.4578
35	outerwear	-0.2679	-0.5073	2	642	10234.1526
36	garment fastenings	-0.4382	-0.5569	2	577	4622.0886
37	artificial flowers	-0.2642	-1.1495	8	598	12155.8098
38	"appliances or methods for making clothes, e.g. for dress-making,"	-0.2061	-0.7261	2	575	4338.522
39	hats	-0.5736	-0.3706	2	622	6366.9468
40	manufacturing or trimming hats or other head coverings	-0.4481	-0.4967	2	531	2029.5576
41	characteristic features of footwear	-0.5924	-0.5024	2	640	7420.2712
42	fastenings or attachments of footwear	-0.5526	-0.6019	2	569	3790.9264
43	"machines, tools, equipment or methods for manufacturing or repairing footwear"	-0.5385	-0.5388	2	603	4909.644
44	"buttons, pins, buckles, slide fasteners, or the like"	-0.3108	-0.5751	2	629	6629.4746
45	jewellery	-0.4127	-0.4456	2	619	4085.5838
46	"indexing scheme relating to buttons, pins, buckles or slide fasteners, and to"	-0.5094	-0.4086	2	533	3576.0072
47	walking sticks	-0.3933	-0.0781	1	598	1923.8224
48	purses	-0.5027	-0.3084	1	636	5668.5646
49	hairdressing or shaving equipment	0.1777	-0.3085	2	645	6648.6108
50	travelling or camp equipment	-0.5332	-0.2681	1	629	6099.315
51	brushes	-0.0085	-0.355	6	632	4460.9096
52	manufacture of brushes	0.0009	-0.3857	6	592	3777.3152
53	tables	-0.431	-0.2812	1	644	6874.9532
54	chairs	-0.3984	-0.1901	1	641	6251.4846
55	furniture specially adapted for children	-0.5462	-0.21	1	595	1999.327
56	"special furniture, fittings, or accessories for shops, storehouses, bars, res"	-0.3394	-0.9017	8	644	14380.115
57	household or table equipment	-0.1971	-1.1639	8	645	17523.8966
58	furnishings for windows or doors	-0.2482	-0.3517	1	578	1964.2974
59	kitchen equipment	0.5646	-0.0318	5	647	5339.241
60	sanitary equipment not otherwise provided for	-0.0138	-0.2971	2	639	5984.096
61	domestic washing or cleaning	0.0717	0.0582	1	646	9280.3908
62	diagnosis	-0.215	-0.118	6	650	15446.3274
63	dentistry	0.0569	-0.2499	6	642	5392.6704
64	"veterinary instruments, implements, tools, or methods"	0.1727	-0.2027	5	613	4338.8396
65	filters implantable into blood vessels	0.0925	-0.4634	2	651	14733.149
66	transport or accomodation for patients	-0.5236	0.0297	1	641	6006.5648
67	"physical therapy apparatus, e.g. devices for locating or stimulating reflex p"	-0.337	-0.1298	1	640	5739.7704
68	containers specially adapted for medical or pharmaceutical purposes	0.0974	-0.3696	2	645	10186.1482
69	"preparations for medical, dental, or toilet purposes"	0.9548	-0.367	5	648	18307.7344
70	methods or apparatus for sterilising materials or objects in general	0.455	-0.3955	2	648	18966.7944
71	"devices for introducing media into, or onto, the body"	0.0565	-0.0818	2	652	17140.664
72	electrotherapy	-0.1865	0.1024	7	646	7881.8792
73	specific use of cosmetics or similar toilet preparations	0.8135	-0.5725	5	639	8804.2994
74	"devices, apparatus or methods for life-saving"	-0.17	-0.1529	2	641	5122.6934
75	fire-fighting	-0.0931	0.3274	1	642	5364.0194
76	chemical means for extinguishing fires or for combating or protecting against	0.8023	0.2811	3	613	6774.3186
